Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-05,89254.10265700484,90553.91968599035,89254.10265700484,89687.375,187418,0.0,0
2018-06-07,90120.6505952381,91853.7400297619,90120.6505952381,90987.1953125,243102,0.0,0
2018-06-08,91420.4665819378,91853.7389354067,90120.6495215311,90553.921875,213047,0.0,0
2018-06-11,90120.64734299517,90987.19202898552,88820.83031400967,89687.375,420428,0.0,0
2018-06-12,90120.65271226416,91853.7421875,89254.10797464623,91853.7421875,325621,0.0,0
2018-06-14,91853.74579326923,92287.01817908655,89687.3838641827,90120.65625,445037,0.0,0
2018-06-15,90120.65671641791,90120.65671641791,86567.82313432836,87087.75,618271,0.0,0
2018-06-18,87087.74540441176,89254.10723039215,86481.16409313725,88387.5625,373860,0.0,0
2018-06-19,88387.5625,89687.37959558822,87087.74540441176,88387.5625,232283,0.0,0
2018-06-20,87521.0223880597,89254.1119402985,86654.4776119403,87087.75,266418,0.0,0
2018-06-21,86654.4708375506,87087.74319173835,85008.03589163715,85614.6171875,271182,0.0,0
2018-06-22,84921.3880597015,88387.5671641791,84921.3880597015,87087.75,296452,0.0,0
2018-06-25,87087.74109375001,87954.28578125,85961.23300000001,86654.46875,130767,0.0,0
2018-06-26,86134.5539516533,87087.75324085672,85441.31810495992,86481.171875,196109,0.0,0
2018-06-27,85961.24041372351,86307.85831861757,85354.65908015893,85874.5859375,174554,0.0,0
2018-06-28,86134.5533482143,86134.5533482143,84488.11822385204,84921.390625,189386,0.0,0
2018-06-29,85181.34552845528,85354.65447154471,83621.5650406504,85268.0,199789,0.0,0
2018-07-02,84921.38712735356,85094.6960806747,82495.06178085775,82841.6796875,352029,0.0,0
2018-07-03,83188.29968944099,83881.53552018634,82668.37281638199,83708.2265625,173388,0.0,0
2018-07-04,83014.98544587228,84141.49359910437,82755.02202589564,83448.2578125,103656,0.0,0
2018-07-05,83448.2631259705,85094.69822399068,83014.99073175466,83708.2265625,178694,0.0,0
2018-07-06,83708.22615551583,85527.97020237487,83708.22615551583,84834.734375,252505,0.0,0
2018-07-09,84488.10378331218,86134.53862626903,83621.55912912436,85354.6484375,187386,0.0,0
2018-07-10,85354.66124553116,85874.58811606231,84574.77093973442,84834.734375,188887,0.0,0
2018-07-11,83794.86718749999,84574.7573681489,83448.2493294338,83794.8671875,209185,0.0,0
2018-07-12,83968.1899990295,84488.1168720885,83361.60864712733,83708.2265625,269930,0.0,0
2018-07-13,83621.5596079901,84401.44980122524,82841.66941475496,83101.6328125,267163,0.0,0
2018-07-16,82841.6764992212,83794.87570580219,82755.02202589564,83448.2578125,168957,0.0,0
2018-07-17,83101.63814806392,83968.18286285084,83014.98367658524,83361.6015625,107999,0.0,0
2018-07-18,83621.5582584669,85441.30201331437,83621.5582584669,83794.8671875,192845,0.0,0
2018-07-19,83881.53160994765,83968.18608475132,82321.75106348167,82755.0234375,218127,0.0,0
2018-07-20,82755.02412801901,84574.76811408016,82061.78832380523,84314.8046875,199077,0.0,0
2018-07-23,84314.80502959521,85701.27664364816,84141.49607783859,85094.6953125,181199,0.0,0
